year_month,rows,mse,r2
201001,7644,5.9672602762285465e-05,0.9738830880744019
201002,7006,8.358927825207416e-05,0.9774355765007742
201003,10518,7.12270000909489e-05,0.9685599274964298
201004,9660,7.593874324178424e-05,0.9620415437249219
201005,12113,0.0003380646241151181,0.9832591419520313
201006,13866,0.00028259232312236444,0.9720264157086067
201007,11801,0.00017950951206773436,0.9660766977182655
201008,12464,0.00012204669161351112,0.9716688414864784
201009,11899,0.00015399985913271355,0.9633482226615927
201010,10709,8.00009363905348e-05,0.9784640325220865
201011,9677,0.00012129205823826563,0.9733404544105871
201012,11198,0.0005730063953967921,0.9932976922753739
201101,7732,0.0017510259424139214,0.977669739469883
201102,9082,0.00015097474723746915,0.9551241304419004
201103,12312,0.00016895061410862998,0.9668068530248624
201104,9813,0.0003863744029438636,0.983606727203837
201105,10345,0.0034621350513840844,0.9763369710624251
201106,11570,0.00016566141715577395,0.9669202370202191
201107,10314,0.00014862480528738683,0.9890108627870391
201108,15654,0.0008045869616213427,0.9888684363655085
201109,15370,0.00026272310875031135,0.9758163771133843
201110,13445,0.0022312057956162816,0.9701122111105897
201111,13301,0.0002130229298711538,0.9742080820411758
201112,12572,0.0003983738965361607,0.9849744792328152
201201,10790,0.0005766617804158298,0.9743051027399691
201202,10698,5.086465958443673e-05,0.9795507220571334
201203,12076,8.650062925041215e-05,0.970675884870753
201204,10901,0.00045448756512198117,0.9781653086894766
201205,13723,0.0005719811424063842,0.9899057140617488
201206,15302,0.00018350804226478293,0.9636580869547698
201207,14632,0.0001651982414774805,0.9527736019998767
201208,15673,6.970749117542713e-05,0.9679761258684205
201209,12505,0.00012433235029979975,0.970511578879018
201210,15697,0.00012420040860962678,0.9848542982825569
201211,16146,8.345617845608846e-05,0.9629956149457302
201212,15296,0.0002627047883758981,0.9798764107060621
201301,12738,6.270605415784117e-05,0.9662619179559228
201302,11815,7.32718375558306e-05,0.9587036150598696
201303,12054,7.831923468255069e-05,0.9480480117486868
201304,14393,0.00021667691532660204,0.9742634751388283
201305,14841,0.002569779244951938,0.9049321893246556
201306,16081,0.012592089316102216,0.6332862679296715
201307,16199,0.0001016116298274851,0.9629354183545672
201308,17309,3.962106473737695e-05,0.9638028288081479
201309,15368,5.602099260357363e-05,0.9530691160090201
201310,17918,0.00025762267629547014,0.9660848771811706
201311,13969,3.207377272285133e-05,0.9768856235113739
201312,18446,0.0005840635025221194,0.9868111650327233
201401,17706,8.707271284671239e-05,0.9737521122684856
201402,18183,5.8304950588420996e-05,0.9594446934338942
201403,21705,0.00010212841853289265,0.968255201236051
201404,19511,7.512618408369898e-05,0.9714770589233411
201405,17257,4.275473085575667e-05,0.9830491897814867
201406,15932,2.478896791126377e-05,0.9775552870460762
201407,20109,6.417842230407503e-05,0.9834435725226887
201408,21415,4.04205613066558e-05,0.9829080907455003
201409,26653,0.000101330841146458,0.9838050307401727
201410,34959,0.00017740707656871432,0.977566030687352
201411,24811,5.4583193106705874e-05,0.9864333970342108
201412,41174,0.000914396171348035,0.9869208481982545
201501,35119,0.00029594503882563513,0.977067000058482
201502,30515,4.530950432422317e-05,0.9798814220894811
201503,40478,0.0003101968166598074,0.9906520205182845
201504,34711,0.00039675210312877483,0.987106879442826
